repository_language,type,active_repos_by_url,events,year,quarter
Ceylon,IssuesEvent,6,71,2014,4
COBOL,PushEvent,25,118,2014,4
ooc,ForkEvent,12,18,2014,4
XQuery,WatchEvent,55,87,2014,4
Standard ML,ForkEvent,54,96,2014,4
Apex,IssuesEvent,40,247,2014,4
Hy,PushEvent,29,301,2014,4
PigLatin,PushEvent,69,238,2014,4
VHDL,IssuesEvent,31,178,2014,4
JSONiq,PushEvent,6,938,2014,4
ColdFusion,IssuesEvent,46,263,2014,4
Apex,ForkEvent,104,209,2014,4
AppleScript,IssuesEvent,43,89,2014,4
Awk,IssuesEvent,8,29,2014,4
Monkey,PushEvent,47,196,2014,4
Nix,IssuesEvent,14,361,2014,4
KRL,PushEvent,5,594,2014,4
MoonScript,WatchEvent,27,129,2014,4
AutoHotkey,WatchEvent,169,441,2014,4
OpenSCAD,WatchEvent,83,173,2014,4
Nimrod,IssuesEvent,29,292,2014,4
LabVIEW,WatchEvent,27,30,2014,4
Frege,WatchEvent,7,219,2014,4
Lasso,PushEvent,52,241,2014,4
DOT,WatchEvent,27,60,2014,4
J,WatchEvent,9,50,2014,4
Coq,IssuesEvent,17,123,2014,4
XC,PushEvent,36,175,2014,4
Grammatical Framework,PushEvent,10,308,2014,4
Crystal,IssuesEvent,3,81,2014,4
Shell,CreateEvent,123,124,2014,4
PureScript,ForkEvent,78,173,2014,4
Assembly,CreateEvent,8,8,2014,4
Mercury,ForkEvent,18,54,2014,4
Papyrus,PushEvent,19,236,2014,4
Boo,PushEvent,33,131,2014,4
xBase,IssuesEvent,2,97,2014,4
GAP,ForkEvent,15,38,2014,4
Game Maker Language,ForkEvent,31,70,2014,4
ANTLR,WatchEvent,14,97,2014,4
Objective-J,WatchEvent,25,107,2014,4
NetLogo,IssuesEvent,7,63,2014,4
ooc,WatchEvent,11,27,2014,4
Bro,WatchEvent,41,124,2014,4
REALbasic,IssuesEvent,3,10,2014,4
SourcePawn,WatchEvent,61,135,2014,4
Nu,ForkEvent,3,4,2014,4
Alloy,PushEvent,4,16,2014,4
Smalltalk,ForkEvent,37,43,2014,4
BitBake,PushEvent,55,477,2014,4
Alloy,WatchEvent,4,5,2014,4
